02-08-2015,Aldosivi,  Colón
02-08-2015,Independiente,  Defensa y Justicia
02-08-2015,River Plate,  San Martín (SJ)
02-08-2015,Lanús,  Estudiantes
02-08-2015,Nueva Chicago,  Huracán
16-08-2015,Crucero del Norte,  Nueva Chicago
16-08-2015,Huracán,  Lanús
16-08-2015,Estudiantes,  River Plate
16-08-2015,San Martín (SJ),  Independiente
16-08-2015,Defensa y Justicia,  Aldosivi
16-08-2015,Colón,  Vélez Sarsfield
16-08-2015,Atlético de Rafaela,  Newell's Old Boys
16-08-2015,Temperley,  Sarmiento
16-08-2015,Olimpo ,  Quilmes
16-08-2015,Rosario Central,  Belgrano
16-08-2015,Tigre,  Unión
16-08-2015,Racing,  Arsenal
16-08-2015,Boca Juniors,  Godoy Cruz
16-08-2015,Banfield,  Gimnasia y Esgrima (LP)
16-08-2015,Argentinos Juniors,  San Lorenzo
23-08-2015,Argentinos Juniors,  Crucero del Norte
23-08-2015,San Lorenzo,  Banfield
23-08-2015,Gimnasia y Esgrima (LP),  Boca Juniors
23-08-2015,Godoy Cruz,  Racing
23-08-2015,Arsenal,  Tigre
23-08-2015,Unión,  Rosario Central
23-08-2015,Belgrano,  Olimpo 
23-08-2015,Quilmes,  Temperley
23-08-2015,Sarmiento,  Atlético de Rafaela
23-08-2015,Newell's Old Boys,  Colón
23-08-2015,Vélez Sarsfield,  Defensa y Justicia
23-08-2015,Aldosivi,  San Martín (SJ)
23-08-2015,Independiente,  Estudiantes
23-08-2015,River Plate,  Huracán
23-08-2015,Lanús,  Nueva Chicago
30-08-2015,Crucero del Norte,  Lanús
30-08-2015,Nueva Chicago,  River Plate
30-08-2015,Huracán,  Independiente
30-08-2015,Estudiantes,  Aldosivi
30-08-2015,San Martín (SJ),  Vélez Sarsfield
30-08-2015,Defensa y Justicia,  Newell's Old Boys
30-08-2015,Colón,  Sarmiento
30-08-2015,Atlético de Rafaela,  Quilmes
30-08-2015,Temperley,  Belgrano
30-08-2015,Olimpo ,  Unión
30-08-2015,Rosario Central,  Arsenal
30-08-2015,Tigre,  Godoy Cruz
30-08-2015,Racing,  Gimnasia y Esgrima (LP)
30-08-2015,Boca Juniors,  San Lorenzo
30-08-2015,Banfield,  Argentinos Juniors
13-09-2015,San Martín (SJ),  Godoy Cruz
13-09-2015,Estudiantes,  Gimnasia y Esgrima (LP)
13-09-2015,Huracán,  San Lorenzo
13-09-2015,Nueva Chicago,  Argentinos Juniors
13-09-2015,Lanús,  Banfield
13-09-2015,River Plate,  Boca Juniors
13-09-2015,Independiente,  Racing
13-09-2015,Tigre,  Vélez Sarsfield
13-09-2015,Rosario Central,  Newell's Old Boys
13-09-2015,Olimpo ,  Sarmiento
13-09-2015,Temperley,  Quilmes
13-09-2015,Atlético de Rafaela,  Belgrano
13-09-2015,Colón,  Unión
13-09-2015,Defensa y Justicia,  Arsenal
13-09-2015,Aldosivi,  Crucero del Norte
20-09-2015,Banfield,  Crucero del Norte
20-09-2015,Argentinos Juniors,  Boca Juniors
20-09-2015,San Lorenzo,  Racing
20-09-2015,Gimnasia y Esgrima (LP),  Tigre
20-09-2015,Godoy Cruz,  Rosario Central
20-09-2015,Arsenal,  Olimpo 
20-09-2015,Unión,  Temperley
20-09-2015,Belgrano,  Atlético de Rafaela
20-09-2015,Quilmes,  Colón
20-09-2015,Sarmiento,  Defensa y Justicia
20-09-2015,Newell's Old Boys,  San Martín (SJ)
